0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
2,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,
0,0,3,0,0,0,0,7,8,0,0,0,0,7,8,0,0,0,0,2,
7,8,3,7,8,0,0,6,5,0,0,0,0,6,5,0,0,0,0,0,
6,5,0,6,5,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,2,2,2,18,0,0,0,0,0,0,0,0,0,0,0,3,0,
1,0,0,0,0,0,0,18,0,0,0,13,0,0,0,0,0,0,3,0,
0,0,0,18,0,0,0,0,0,0,0,21,18,0,0,0,0,0,3,0,
0,0,7,8,0,0,0,7,8,0,23,0,0,0,0,0,0,0,3,0,
0,0,6,5,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,
0,17,0,0,0,19,18,2,2,2,0,0,0,0,4,4,0,0,6,5,
0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,
0,0,0,0,0,0,0,2,18,0,23,3,0,13,22,13,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,23,0,0,7,8,
0,0,0,0,7,8,0,21,1,15,0,0,0,0,0,16,0,0,6,5,
0,0,0,0,6,5,0,0,1,16,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,15,0,0,0,0,7,8,0,0,0,0,0,7,8,
0,0,0,0,0,2,2,0,0,0,0,6,5,0,0,0,0,0,6,5,
0,0,0,0,2,2,2,0,17,18,0,0,0,0,0,0,7,8,0,0,
0,0,0,0,0,0,0,0,0,1,0,0,0,7,8,0,6,5,0,0,
0,0,3,0,0,0,0,22,0,1,0,0,0,6,5,0,0,0,0,0,
0,0,3,0,0,0,0,20,21,0,0,0,0,0,0,0,3,0,0,0,
0,0,0,0,0,0,0,16,0,22,0,0,0,2,0,0,0,0,2,2,
0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,0,0,0,
